-41.6276,-43.8378,9,0.610865,-41.63,-43.8395,8.99703,0.610862
-42.1056,-43.2149,9,0.698132,-42.1936,-43.276,8.89333,0.699237
-42.636,-42.636,9,0.785398,-42.7251,-42.7445,8.86031,0.783854
-43.2149,-42.1056,9,0.872665,-43.276,-42.1936,8.89333,0.87156
-43.8378,-41.6276,9,0.959931,-43.8395,-41.63,8.99703,0.959934
-44.5,-41.2058,9,1.0472,-44.686,-41.5041,8.64868,1.04858
-45.1964,-40.8432,9,1.13446,-45.2475,-40.9425,8.88841,1.13495
-45.9218,-40.5428,9,1.22173,-46.0276,-40.8029,8.71941,1.22293
-39.6031,-45.5798,10,0.349066,-39.807,-45.6627,9.78008,0.348234
-39.9369,-44.7738,10,0.436332,-39.8871,-44.766,10.0485,0.43494
-40.3397,-44,10,0.523599,-40.5352,-44.1179,9.77176,0.523148
-40.8085,-43.2642,10,0.610865,-41.1481,-43.505,9.5837,0.610608
-41.3396,-42.5721,10,0.698132,-41.7374,-42.9157,9.47439,0.697338
-41.9289,-41.9289,10,0.785398,-42.3186,-42.3345,9.43768,0.784202
-42.5721,-41.3396,10,0.872665,-42.9157,-41.7374,9.47439,0.873458
-43.2642,-40.8085,10,0.959931,-43.5169,-41.1362,9.58661,0.961911
-44,-40.3397,10,1.0472,-44.1179,-40.5352,9.77176,1.04765
-44.7738,-39.9369,10,1.13446,-44.766,-39.8871,10.0485,1.13586
-45.5798,-39.6031,10,1.22173,-45.6627,-39.807,9.78008,1.22256
-38.6634,-45.2378,11,0.349066,-39.2035,-45.4496,10.42,0.347697
-39.0306,-44.3512,11,0.436332,-39.2589,-44.4611,10.7467,0.436038
-39.4737,-43.5,11,0.523599,-39.9407,-43.7793,10.4559,0.522799
-39.9893,-42.6907,11,0.610865,-39.9618,-42.6815,11.0278,0.610115
-40.5735,-41.9293,11,0.698132,-40.6418,-42.0014,10.9013,0.697093
-41.2218,-41.2218,11,0.785398,-41.3146,-41.3287,10.8588,0.784485
-41.9293,-40.5735,11,0.872665,-42.0014,-40.6418,10.9013,0.873703
-42.6907,-39.9893,11,0.959931,-42.6815,-39.9618,11.0278,0.960681
-43.5,-39.4737,11,1.0472,-43.7793,-39.9407,10.4559,1.048
-44.3512,-39.0306,11,1.13446,-44.4611,-39.2589,10.7467,1.13476
-45.2378,-38.6634,11,1.22173,-45.4379,-39.2153,10.413,1.22166
-37.7237,-44.8958,12,0.349066,-37.7317,-44.9117,11.9871,0.348047
-38.1243,-43.9286,12,0.436332,-38.5204,-44.123,11.5589,0.43557
